Anjanadri Hill,hampi,"Birthplace of Lord Hanuman, great sunset views","Trekking, Sunset viewing, Religious visit",,,
Matanga Hill,hampi,Highest point in Hampi for sunrise/sunset,"Sunrise/sunset viewing, Trekking, Photography",,,
Coracle Ride,hampi,Traditional boat ride on Tungabhadra River,"River exploration, Photography, Unique experience",,,
Abbey Falls,coorg,Scenic waterfall surrounded by coffee plantations,"Photography, Nature walks, Picnic",,,
Talakaveri,coorg,Source of River Kaveri,"Pilgrimage, Scenic views, Nature appreciation",,,
Raja's Seat,coorg,Seasonal garden with panoramic views of valleys,"Sunset viewing, Toy train ride, Photography",,,
Dubare Elephant Camp,coorg,Elephant training camp on the banks of River Kaveri,"Elephant bathing, Elephant feeding, Rafting",,,
Padi Igguthappa Templs,coorg,more than 200 year old shrine(temple) in kakkabe,"Pilgrimage, Scenic views, Nature appreciation",,,
Nisargadhama,coorg,Island with bamboo groves and a hanging bridge,"Nature walks, Boating, Deer park visit",,,
Bylakuppe Tibetan Settlement (Golden Temple),coorg,Largest Tibetan settlement in South India,"Spiritual visit, Architecture appreciation, Cultural immersion",,,
Bhagamandala,coorg,Confluence of three rivers,"Pilgrimage, River bathing",,,
Mandala Viewpoint,coorg,Hilltop offering panoramic views of valleys and hills,"Sunset viewing, Photography, Nature appreciation",,,
Namdroling Monastery (Golden Temple),coorg,Tibetan Buddhist monastery with golden statues,"Spiritual visit, Meditation, Photography",,,
Tadiandamol Peak,coorg,Highest peak in Coorg,"Trekking, Camping, Nature photography",,,
Iruppu Falls,coorg,Cascading waterfall with a Shiva temple nearby,"Photography, Nature walks, Religious visit",,,
Omkareshwara Temple,coorg,Unique temple with Islamic and Gothic architecture,"Pilgrimage, Architecture study",,,
Coffee Plantations,coorg,Vast estates growing coffee,"Coffee tour, Photography, Nature walks",,,
Honey Valley Estate,coorg,Organic farm and nature retreat,"Nature stay, Honey tasting, Trekking",,,
Mallalli Falls,coorg,Stunning multi-tiered waterfall in Pushpagiri Hills,"Trekking, Photography, Nature appreciation",,,
Kabbe Hillscoorg,,"Located near Chelavara village, stunning and standing at 1,420 meter","Trekking, Photography, Nature appreciation",,,"Trekking, Photograph, nature appreciation"
Chelavara Falls,coorg,Beautiful waterfall near Cheyyandane,"Photography, Picnic, Nature walks",,,
Harangi Dam,coorg,Reservoir built across the Harangi River,"Picnic, Photography, Boating (seasonal)",,,
Brahmagiri Wildlife Sanctuary,coorg,Home to various wildlife and Iruppu Falls,"Trekking, Bird watching, Wildlife spotting",,,
Gaddige Raja's Tomb,coorg,Royal tombs with Indo-Saracenic architecture,"History tour, Photography, Architecture appreciation",,,
Pushpagiri Wildlife Sanctuary,coorg,Known for trekking and diverse birdlife,"Trekking, Bird watching, Nature photography",,,
Panambur Beach,mangaluru,One of the cleanest and safest beaches,"Swimming, Boating, Water sports",,,
Kadri Manjunath Temple,mangaluru,Ancient temple with bronze statues,"Pilgrimage, Architecture study, History tour",,,
Mangaladevi Temple,mangaluru,Temple dedicated to Goddess Mangaladevi,"Pilgrimage, Cultural events, Architecture study",,,
St. Aloysius Chapel,mangaluru,Chapel with stunning frescoes by Italian artist Antonio Moscheni,"Art appreciation, Photography, Spiritual visit",,,
Tannirbhavi Beach,mangaluru,Secluded beach with a lighthouse and tree park,"Sunset viewing, Swimming, Relaxation",,,
Gokarnanatheshwara Temple,mangaluru,"Dedicated to Lord Shiva, built in Dravidian style","Pilgrimage, Architecture appreciation, Cultural events",,,
Sultan Battery,mangaluru,Watchtower built by Tipu Sultan,"History tour, Photography, River views",,,
Pilikula Nisargadhama,mangaluru,"Integrated theme park with zoo, botanical garden, and lake","Boating, Zoo visit, Botanical garden walk",,,
Ullal Beach,mangaluru,Scenic beach with fishing villages,"Swimming, Sunset viewing, Local seafood",,,
Milagres Church,mangaluru,"Historic church, one of the oldest in the region","Pilgrimage, Architecture study, History tour",,,
Kaup Beach,mangaluru,Beach with a lighthouse and historical ruins,"Lighthouse climbing, Sunset viewing, Photography",,,
Kudroli Temple,mangaluru,Rebuilt grand temple dedicated to Shiva,"Pilgrimage, Festival participation, Architecture appreciation",,,
Netravathi River Bridge,mangaluru,Scenic bridge offering views of the river and city,"Photography, Evening strolls",,,
Bejai Museum (Seemanthi Bai Government Museum),mangaluru,Archaeological and historical artifacts,"History tour, Cultural study",,,
New Mangalore Port,mangaluru,One of India's major ports,"Port views, Photography",,,
Kateel Durga Parameshwari Temple,mangaluru,Temple on an island in the Nandini River,"Pilgrimage, River views, Religious rituals",,,
Moodabidri (Jain Kashi),mangaluru,Historic Jain center with 1000 Pillar Basadi,"Architecture study, Spiritual visit, History tour",,,
Karinjeshwara Temple,mangaluru,Hilltop temple with panoramic views,"Pilgrimage, Trekking, Viewpoint photography",,,
Shri Krishna Math (Udupi),mangaluru,Famous for Lord Krishna temple and unique worship,"Pilgrimage, Cultural experience, Temple food (prasada)",,,
Malpe Beach (Udupi),mangaluru,Famous for St. Mary's Island and water sports,"Water sports, Island visit, Sunset viewing",,,
Nandi Hills,Chikkaballapur,Famous hilltop fortress with stunning sunrise views,"Trekking, Paragliding, Photography, Sunrise viewing",,,
Bhoga Nandeeshwara Temple,Chikkaballapur,9th-century temple with intricate carvings,"Architecture photography, History tour, Pilgrimage",,,
Skandagiri (Kalavara Durga),Chikkaballapur,Famous night trekking destination with mountain views,"Night trekking, Camping, Sunrise viewing",,,
Skandagiri Temple,Chikkaballapur,Ancient temple at the base of the hill,"Religious visit, Architecture study",,,
Yoga Nandeeshwara Temple,Chikkaballapur,Temple located at the top of Nandi Hills,"Pilgrimage, Architecture study, Viewing the hill range",,,
Vivekananda Falls,Chikkaballapur,Seasonal waterfall located near the hills,"Nature trekking, Photography, Relaxation",,,
Muddenahalli,Chikkaballapur,Birthplace of Sir M. Visvesvaraya,"Visiting the museum, History tour, Educational visit",,,
Kaveripura (Sir M.V. Museum),Chikkaballapur,Museum dedicated to India's greatest engineer,"Exploring artifacts, History study, Photography",,,
Ranganatha Swamy Temple,Chikkaballapur,Ancient temple dedicated to Lord Ranganatha,"Pilgrimage, Watching traditional rituals",,,
Kaiwara,Chikkaballapur,Historic town associated with the poet Kaiwara Tatayya,"Religious visit, Visiting the ashram, Cave exploration",,,
Kailasagiri,Chikkaballapur,Hillock with cave temples and panoramic views,"Trekking, Cave exploration, Photography",,,
Chintamani,Chikkaballapur,Major trade center known for silk and incense,"Local shopping, Market exploration, Food tasting",,,
Srinivasa Sagara,Chikkaballapur,Scenic reservoir and dam site,"Picnic, Bird watching, Photography",,,
Gummanayaka Kote,Chikkaballapur,14th-century hill fort ruins,"Adventure trekking, History exploration, Photography",,,
Avalabetta,Chikkaballapur,Quiet hill station known as the 'Nandi Hills without the crowd',"Trekking, Landscape photography, Cliff viewing",,,
Vidurashwatha,Chikkaballapur,Known as the 'Jallianwala Bagh of the South',"History tour, Visiting the martyr's memorial, Pilgrimage",,,
Jaramadagu Falls,Chikkaballapur,Hidden multi-step waterfall in the forest,"Forest trekking, Photography, Nature walks",,,
Ghatikallu,Chikkaballapur,Massive rock formation and trekking spot,"Rock climbing, Trekking, Photography",,,
Minakanagurki,Chikkaballapur,Center for rural empowerment and education,"Social study, Educational tour, Photography",,,
Sathi Falls,Chikkaballapur,Seasonal waterfall ideal for a quick getaway,"Nature photography, Picnic, Short trekking",,,
Venkataramana Swamy Temple (Alamgiri),Chikkaballapur,Historic temple with Hoysala influence,"Architecture photography, Pilgrimage, History tour",,,
Bhimeshwara Temple,Chikkaballapur,Cave temple dedicated to Lord Shiva,"Spiritual retreat, Cave exploration, Photography",,,
Bagepalli (Silk Hub),Chikkaballapur,Center for sericulture and silk production,"Watching silk weaving, Factory visit, Shopping",,,
Gudibande Fort,Chikkaballapur,7-layered fort modeled after the Madhugiri Fort,"Fort trekking, History study, Viewing the surrounding lakes",,,
Amani Byrasagara Lake,Chikkaballapur,Large lake near Gudibande town,"Bird watching, Evening walks, Photography",,,
Grover Zampa Vineyards,Chikkaballapur,One of India's oldest winery estates,"Wine tasting tours, Learning about viticulture, Photography",,,
Mandikal Hills,Chikkaballapur,Trekking spot with lush greenery after rain,"Trekking, Nature walks, Photography",,,
Kandavara Lake,Chikkaballapur,Serene lake popular for morning walks,"Jogging, Bird watching, Photography",,,
Rangadhama Hill,Chikkaballapur,Hilltop temple with a challenging climb,"Steep trekking, Religious visit, Viewpoint viewing",,,
Ghati Subramanya Temple,Chikkaballapur,Famous temple where the deity is self-manifested,"Pilgrimage, Watching snake worship rituals, Architecture study",,,
Krishna Raja Sagara (KRS) Dam,Mandya,Engineering marvel and primary water source for the region,"Viewing the dam, Photography, Learning about irrigation history",,,
Brindavan Gardens,Mandya,World-famous terrace gardens located at the base of KRS Dam,"Musical fountain show, Evening walks, Photography",,,
Srirangapatna Island,Mandya,Historic town and the capital of Hyder Ali and Tipu Sultan,"Heritage tour, History study, Photography",,,
Ranganathaswamy Temple,Mandya,Ancient temple and one of the Pancharanga Kshetrams,"Pilgrimage, Architecture photography, Religious visit",,,
Daria Daulat Bagh,Mandya,The Summer Palace of Tipu Sultan built in teakwood,"Viewing murals and artifacts, Museum tour, Photography",,,
Gumbaz,Mandya,Mausoleum of Tipu Sultan and his parents,"History tour, Architecture study, Photography",,,
Ranganathittu Bird Sanctuary,Mandya,The largest bird sanctuary in Karnataka on the Kaveri river,"Boating, Bird watching, Wildlife photography",,,
Shivanasamudra Falls,Mandya,Iconic twin waterfalls (Gaganachukki and Bharachukki),"Waterfall viewing, Photography, Nature walks",,,
Melukote Cheluvanarayana Swamy Temple,Mandya,Historic temple known for its Vairamudi festival,"Pilgrimage, Architecture study, Viewing temple jewelry",,,
Yoga Narasimha Swamy Temple,Mandya,Hilltop temple in Melukote with panoramic views,"Uphill trekking, Pilgrimage, Photography",,,
Kokkare Bellur,Mandya,Village famous for its coexistence with Painted Storks and Pelicans,"Bird watching, Village life experience, Photography",,,
Sangama,Mandya,"Confluence of the rivers Kaveri, Hemavati, and Lakshmana Tirtha","River bathing, Coracle riding, Picnic",,,
Balamuri & Yedamuri Falls,Mandya,Small check dams on the Kaveri river,"Swimming in shallow waters, Photography, Picnic",,,
Kere Thonnur,Mandya,Historical lake with religious and scenic significance,"Boating, Swimming, History tour",,,
Adichunchanagiri Hills,Mandya,Spiritual center and hill station,"Visiting the matha, Trekking, Peacock spotting",,,
Panchakuta Basadi,Mandya,10th-century Jain temple complex in Kambadahalli,"History study, Architecture photography",,,
Karighatta Hill,Mandya,Hilltop offering a view of the Mysore and Srirangapatna,"Trekking, Nature walks, Pilgrimage",,,
Maddur Vada Hub,Mandya,Famous for its indigenous snack 'Maddur Vada',"Food tasting, Shopping, Local market visit",,,
Basaralu Temple,Mandya,Intricately carved Hoysala temple dedicated to Mallikarjuna,"Architecture photography, Art appreciation",,,
Hosaholalu Lakshminarayana Temple,Mandya,One of the most beautiful Hoysala temples in the district,"History tour, Architecture study, Photography",,,
Venugopala Swamy Temple,Mandya,Submerged temple relocated to the banks of KRS Backwaters,"Photography, Religious visit, Sunset viewing",,,
Pandavapura,Mandya,Town associated with the exile of the Pandavas,"History exploration, Visiting the nearby hills",,,
Kuntibetta,Mandya,Two rocky hills ideal for night trekking,"Night trekking, Rock climbing, Camping",,,
Hemagiri Falls,Mandya,Waterfall formed on the Hemavati river,"Coracle riding, Picnic, Photography",,,
Shimsha Hydroelectric Project,Mandya,One of the oldest hydroelectric power plants in Asia,"Educational tour, Viewing the Shimsha falls",,,
Paschima Vahini,Mandya,Holy spot on the banks of Kaveri for ancestral rites,"Spiritual visit, River-side relaxation",,,
Captain Scott’s Bungalow,Mandya,Old bungalow associated with Tipu Sultan’s reign,"History tour, Architecture photography",,,
Wellesley Bridge,Mandya,Historic stone bridge built across the Kaveri,"Architecture study, Photography",,,
Tipu Sultan’s Armor,Mandya,Museum site showing the weapons of the Mysore Tiger,"History tour, Viewing military artifacts",,,
Arakere Heritage,Mandya,Traditional village known for its agricultural roots,"Farm visits, Rural life photography, Local food tasting",,,
Kalaburagi Fort,Kalaburagi,14th-century Bahmani fort with a massive 29-foot cannon,"History tour, Fort exploration, Photography",,,
Jama Masjid Gulbarga,Kalaburagi,Unique mosque built inside the fort with no open courtyard,"Architecture study, History tour, Photography",,,
Haft Gumbaz,Kalaburagi,Seven tombs of the Bahmani rulers with distinctive domes,"History tour, Architecture photography, Sightseeing",,,
Khwaja Bande Nawaz Dargah,Kalaburagi,Shrine of the famous Sufi saint in Indo-Saracenic style,"Pilgrimage, Architecture study, Attending the annual Urs",,,
Sharana Basaveshwara Temple,Kalaburagi,Historic Hindu temple dedicated to a 12th-century philosopher,"Pilgrimage, Watching traditional rituals",,,
Buddha Vihar,Kalaburagi,Sprawling Buddhist spiritual center with a grand pagoda,"Meditation, Museum tour, Photography, Spiritual retreat",,,
Chandrampalli Dam,Kalaburagi,Scenic dam built across the Bhima river between two hills,"Boating, Jungle trekking, Island visits, Picnic",,,
Khoroti (Khorooti) Village,Kalaburagi,Home to the historic Sayyid Muhammad al-Husayni monument,"History tour, Cultural exploration",,,
Sannati (Ashokan Edicts),Kalaburagi,Archaeological site with Ashokan rock edicts and Buddhist stupas,"Archaeology study, History tour, Museum visit",,,
Chandralamba Temple (Sannati),Kalaburagi,Ancient temple located on the banks of the Bhima river,"Pilgrimage, River-side relaxation, Architecture study",,,
Nagavi Ghat,Kalaburagi,Scenic riverbank area known for its peaceful environment,"River bathing, Photography, Picnic",,,
Jivargi (Jevargi) Caves,Kalaburagi,Ancient rock-cut caves used by monks,"Cave exploration, History tour, Photography",,,
Brahmapur Temple,Kalaburagi,One of the oldest temples in the city area,"Pilgrimage, Viewing traditional festivals",,,
Appa Lake,Kalaburagi,Pleasant urban lake named after Sharana Basaveshwara,"Evening walks, Bird watching, Relaxation",,,
Kambleshwar Temple,Kalaburagi,Known for its unique pillars and ancient stone carvings,"Art appreciation, Architecture photography",,,
Chincholi Wildlife Sanctuary,Kalaburagi,The only dry deciduous forest in North Karnataka,"Trekking, Wildlife spotting, Nature photography",,,
Ethipotha Falls,Kalaburagi,Scenic seasonal waterfall located in the hilly terrains,"Nature photography, Picnic, Short trekking",,,
Ganagapura Dattatreya Temple,Kalaburagi,Major pilgrimage center at the confluence of Bhima and Amarja,"Pilgrimage, Performing religious rites, River bathing",,,
Malkhed Fort,Kalaburagi,Former capital of the Rashtrakuta dynasty,"History tour, Fort trekking, Photography",,,
Uttaradi Matha (Malkhed),Kalaburagi,Prominent spiritual center for Madhwa Brahmins,"Religious visit, Spiritual study, Viewing historical manuscripts",,,
Sedam Heritage Homes,Kalaburagi,Traditional 'wadas' or mansions with intricate woodwork,"Heritage walk, Architecture study, Cultural photography",,,
Yadgir Hill Fort (Nearby),Kalaburagi,Massive hill fort with unique natural rock formations,"Adventure trekking, Fort exploration, Viewing the city",,,
Afzalpur Dargah,Kalaburagi,Historic shrine attracting people of all faiths,"Religious visit, Cultural exploration",,,
Sri Revanasiddaeshwara Temple,Kalaburagi,Famous hilltop temple with a steep stone staircase,"Uphill trekking, Pilgrimage, Viewpoint viewing",,,
Basaveshwara Statue (City Center),Kalaburagi,Massive statue of the social reformer Basavanna,"Photography, Sightseeing, City exploration",,,
Gulbarga Science Centre,Kalaburagi,Educational park with interactive science exhibits,"Science park tour, Educational visit, Family fun",,,
Sindagi (Sindagi) Fort,Kalaburagi,Lesser-known ruins of a medieval fort,"History exploration, Photography",,,
Bhima River Banks,Kalaburagi,Wide river stretches ideal for sunset viewing,"Sunset photography, Fishing, River-side walks",,,
Tomb of Sultan Hassan,Kalaburagi,One of the largest and most decorative Bahmani tombs,"History tour, Architecture photography",,,
Aland Dargah,Kalaburagi,Spiritual center known for the Ladle Mashak shrine,"Pilgrimage, Viewing ancient Sufi architecture",,,
"Chennakeshava Temple, Belur",Hassan,12th-century masterpiece of Hoysala architecture,"Architecture photography, History tour, Pilgrimage",,,
"Hoysaleswara Temple, Halebidu",Hassan,Massive twin temples with intricate stone carvings,"Studying mythological reliefs, Photography, Sightseeing",,,
"Gomateshwara Statue, Shravanabelagola",Hassan,57-foot tall monolithic statue of Lord Bahubali,"Climbing Vindhyagiri hill, Pilgrimage, Panoramic viewing",,,
Shettihalli Rosary Church,Hassan,Gothic-style church that remains submerged during monsoons,"Sunset photography, Boat ride to the ruins, History tour",,,
Manjarabad Fort,Hassan,Star-shaped fort built by Tipu Sultan in 1792,"Fort trekking, Photography, Enjoying views of the Western Ghats",,,
Hasanamba Temple,Hassan,"Temple dedicated to Goddess Shakti, open only during Diwali","Pilgrimage, Witnessing local religious traditions",,,
Gorur Dam (Hemavati Dam),Hassan,Large reservoir on the Hemavati river with scenic views,"Picnic, Bird watching, Photography during water release",,,
Bisle Ghat,Hassan,Dense forest viewpoint overlooking three mountain ranges,"Nature photography, Trekking, Wildlife spotting",,,
"Lakshmi Devi Temple, Doddagaddavalli",Hassan,Unique four-shrine (Chatuskuta) Hoysala temple,"Architecture study, Photography, Spiritual visit",,,
Maharaja Park,Hassan,Lush green lung of Hassan city with tall trees,"Evening walks, Family picnic, Children's play area",,,
"Bucheshwara Temple, Koravangala",Hassan,Elegant 12th-century temple dedicated to Lord Shiva,"Exploring stone carvings, Quiet meditation, Photography",,,
Hulikere Pond,Hassan,Architectural stepwell with shrines representing constellations,"History tour, Photography of the stone steps",,,
"Ishvara Temple, Arasikere",Hassan,Unique star-shaped Hoysala temple with complex design,"Architecture photography, Religious visit",,,
"Jain Matt, Shravanabelagola",Hassan,Ancient monastery housing 19th-century metal idols,"Learning about Jain history, Seeking blessings, Museum visit",,,
"Kedareshwara Temple, Halebidu",Hassan,Intricate temple known for its star-shaped base,"Studying soapstone carvings, Photography",,,
"Lakshmi Narasimha Temple, Nuggehalli",Hassan,Well-preserved temple with detailed outdoor sculptures,"Architecture study, Pilgrimage, Photography",,,
Ramanathapura Temples,Hassan,Cluster of temples on the banks of Cauvery (Dakshina Kashi),"River bathing, Temple hopping, Spiritual retreat",,,
Twin Temples of Mosale,Hassan,Nageshwara & Chennakeshava temples built side-by-side,"Comparing Shaiva and Vaishnava architecture, Photography",,,
"Allalanatha Temple, Kondajji",Hassan,Houses a 14-foot tall idol of Lord Chennakeshava,"Pilgrimage, Viewing the massive stone idol",,,
Kappe Chennigaraya Temple,Hassan,Located within the Belur complex; built by Queen Shantala,"Architecture tour, Religious visit",,,
Chandragiri Hill,Hassan,Small hill with several historic Jain Bastis,"Trekking, Visiting Chavundaraya Basadi, History study",,,
Yagachi Dam,Hassan,Water sports hub on the Yagachi river,"Kayaking, Jet skiing, Speed boating, Picnic",,,
Jenukallu Betta,Hassan,Highest peak in the region with spectacular valley views,"Challenging trekking, Photography, Camping",,,
Parvathamma Betta,Hassan,Hilltop temple dedicated to Lord Shiva and Parvati,"Adventure trekking, Viewpoint viewing, Pilgrimage",,,
Gendekatte Park,Hassan,Deer park and forest reserve near Hassan town,"Wildlife viewing, Morning walks, Nature photography",,,
Shantala Devi Alcove,Hassan,Artistic spot inside Halebidu temple dedicated to the Queen,"Art appreciation, Photography",,,
Basti Hill,Hassan,Hillock featuring several black stone Jain Bastis,"Archaeological exploration, Quiet contemplation",,,
"Yoganarasimha Swamy Temple, Gorur",Hassan,Historic temple on the banks of the Hemavati,"Pilgrimage, River-side relaxation, Photography",,,
Chavundaraya Basadi,Hassan,Ancient Jain temple with pyramidal roof structure,"Architecture study, History tour",,,
"Sadasiva Temple, Nuggehalli",Hassan,Ekamukha (single-faced) Shiva temple with Hoysala art,"Religious visit, Art appreciation, Photography",,,
Gokarna Main Beach,Uttar_Kannada,Famous for its temple proximity and surfing,"Swimming, Surfing, Beach trekking",,,
Om Beach,Uttar_Kannada,Naturally shaped like the Hindu 'Om' symbol,"Speed boating, Trekking to nearby beaches, Sunbathing",,,
Kudle Beach,Uttar_Kannada,Wide sandy beach popular with backpackers,"Beach yoga, Sunset viewing, Cafe hopping",,,
Half Moon Beach,Uttar_Kannada,Secluded crescent-shaped beach reachable by trek,"Trekking, Camping, Quiet relaxation",,,
Paradise Beach,Uttar_Kannada,Remote rocky beach known for its hippie culture roots,"Boat transit, Night camping, Photography",,,
Murudeshwar Temple,Uttar_Kannada,Home to the world's second-tallest Shiva statue,"Pilgrimage, Climbing the Rajagopura for sea views",,,
Murudeshwar Beach,Uttar_Kannada,Beach adjacent to the massive Shiva shrine,"Water sports, Photography, Evening walks",,,
Netrani Island,Uttar_Kannada,Heart-shaped island known as the 'Pigeon Island',"Scuba diving, Snorkeling, Deep-sea photography",,,
Dandeli Wildlife Sanctuary,Uttar_Kannada,Second largest wildlife sanctuary in Karnataka,"Jungle safari, Bird watching, Wildlife photography",,,
Kali River Rafting (Dandeli),Uttar_Kannada,Famous white-water rafting destination,"River rafting, Kayaking, Natural jacuzzi bathing",,,
Supa Dam,Uttar_Kannada,Massive concrete gravity dam on the Kali river,"Viewing the reservoir, Photography, Educational tour",,,
Syntheri Rocks,Uttar_Kannada,Monolithic limestone rock formation in the forest,"Trekking, Geological study, Photography",,,
Jog Falls (Siddapur side),Uttar_Kannada,Highest untiered waterfall in India,"Waterfall viewing, Photography, Nature walks",,,
Unchalli Falls,Uttar_Kannada,Spectacular 116-meter drop known as Lushington Falls,"Forest trekking, Photography, Nature appreciation",,,
Yana Caves,Uttar_Kannada,Unique crystalline karst limestone rock formations,"Trekking, Cave exploration, Photography",,,
Vibhuti Falls,Uttar_Kannada,Multi-tiered perennial forest waterfall,"Swimming, Photography, Nature walks",,,
Mirjan Fort,Uttar_Kannada,16th-century architectural marvel covered in moss,"History tour, Fort exploration, Photography",,,
Karwar Beach (Rabindranath Tagore Beach),Uttar_Kannada,Scenic beach that inspired Tagore's poetry,"Visit INS Chapal Warship Museum, Water sports",,,
Devbagh Island,Uttar_Kannada,Pristine island resort off the coast of Karwar,"Snorkeling, Banana boat rides, Private beach stay",,,
