id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3
26,Srirangapatna,Mysuru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.","Historic island town, Tipu Sultan's capital.","It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, temple visit, battleground exploration -- a well-loved spot in Mysuru district.",Category: Attraction,"Known for: Historic island town, Tipu Sultan's capital","Popular activities: History tour, Temple visit, Battleground exploration"
27,Karanji Lake,Mysuru,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Lake with a walk-through aviary and butterfly park.,"It's a well-known lake, popular for bird watching.","Visitors flock here for bird watching, boating, butterfly spotting -- a well-loved spot in Mysuru district.",Category: Lake,Known for: Lake with a walk-through aviary and butterfly park,"Popular activities: Bird watching, Boating, Butterfly spotting"
28,Railway Museum Mysore,Mysuru,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Museum showcasing historic locomotives.,"It's a well-known museum, popular for history of railways.","Visitors flock here for history of railways, train viewing, photography -- a well-loved spot in Mysuru district.",Category: Museum,Known for: Museum showcasing historic locomotives,"Popular activities: History of railways, Train viewing, Photography"
29,Jaganmohan Palace Art Gallery,Mysuru,"Somewhere in Karnataka, this palace holds a story worth uncovering.",Art gallery and auditorium.,"It's a well-known palace, popular for art appreciation.","Visitors flock here for art appreciation, traditional painting viewing -- a well-loved spot in Mysuru district.",Category: Palace,Known for: Art gallery and auditorium,"Popular activities: Art appreciation, Traditional painting viewing"
30,Regional Museum of Natural History,Mysuru,"Somewhere in Karnataka, this museum holds a story worth uncovering.","Focus on flora, fauna, and geology of South India.","It's a well-known museum, popular for educational tour.","Visitors flock here for educational tour, nature study -- a well-loved spot in Mysuru district.",Category: Museum,"Known for: Focus on flora, fauna, and geology of South India","Popular activities: Educational tour, Nature study"
31,Datta Peetham,Mysuru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Ashram of Avadhoota Datta Peetham.,"It's a well-known attraction, popular for spiritual visit.","Visitors flock here for spiritual visit, yoga, meditation -- a well-loved spot in Mysuru district.",Category: Attraction,Known for: Ashram of Avadhoota Datta Peetham,"Popular activities: Spiritual visit, Yoga, Meditation"
32,Lalitha Mahal Palace,Mysuru,"Somewhere in Karnataka, this palace holds a story worth uncovering.","Former royal palace, now a heritage hotel.","It's a well-known palace, popular for architecture appreciation.","Visitors flock here for architecture appreciation, photography, high tea -- a well-loved spot in Mysuru district.",Category: Palace,"Known for: Former royal palace, now a heritage hotel","Popular activities: Architecture appreciation, Photography, High tea"
33,GRS Fantasy Park,Mysuru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Amusement and water park.,"It's a well-known park, popular for rides.","Visitors flock here for rides, water slides, family entertainment -- a well-loved spot in Mysuru district.",Category: Park,Known for: Amusement and water park,"Popular activities: Rides, Water slides, Family entertainment"
34,Melukote,Mysuru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple town with historical significance.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, architecture study, hill climbing -- a well-loved spot in Mysuru district.",Category: Temple,Known for: Ancient temple town with historical significance,"Popular activities: Religious visit, Architecture study, Hill climbing"
35,Ranganathittu Bird Sanctuary,Mysuru,"Somewhere in Karnataka, this wildlife sanctuary holds a story worth uncovering.","Islands on the Kaveri River, major bird breeding site.","It's a well-known wildlife sanctuary, popular for bird watching.","Visitors flock here for bird watching, boating, photography -- a well-loved spot in Mysuru district.",Category: Wildlife Sanctuary,"Known for: Islands on the Kaveri River, major bird breeding site","Popular activities: Bird watching, Boating, Photography"
36,Talakad,Mysuru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Historical site with submerged temples.,"It's a well-known temple, popular for archaeological study.","Visitors flock here for archaeological study, temple visit, photography -- a well-loved spot in Mysuru district.",Category: Temple,Known for: Historical site with submerged temples,"Popular activities: Archaeological study, Temple visit, Photography"
37,Bandipur National Park,Mysuru,"Somewhere in Karnataka, this park holds a story worth uncovering.",Tiger reserve and wildlife sanctuary.,"It's a well-known park, popular for wildlife safari.","Visitors flock here for wildlife safari, bird watching, photography -- a well-loved spot in Mysuru district.",Category: Park,Known for: Tiger reserve and wildlife sanctuary,"Popular activities: Wildlife safari, Bird watching, Photography"
38,Shivanasamudra Falls,Mysuru,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Segmented waterfalls on the Kaveri River.,"It's a well-known waterfall, popular for photography.","Visitors flock here for photography, nature appreciation, picnic -- a well-loved spot in Mysuru district.",Category: Waterfall,Known for: Segmented waterfalls on the Kaveri River,"Popular activities: Photography, Nature appreciation, Picnic"
39,Somnathpur Temple (Chennakesava Temple),Mysuru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hoysala architecture masterpiece.,"It's a well-known temple, popular for architecture study.","Visitors flock here for architecture study, sculpture viewing, history tour -- a well-loved spot in Mysuru district.",Category: Temple,Known for: Hoysala architecture masterpiece,"Popular activities: Architecture study, Sculpture viewing, History tour"
40,Balamuri Falls,Mysuru,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Small waterfall and picnic spot.,"It's a well-known waterfall, popular for picnic.","Visitors flock here for picnic, swimming, relaxation -- a well-loved spot in Mysuru district.",Category: Waterfall,Known for: Small waterfall and picnic spot,"Popular activities: Picnic, Swimming, Relaxation"
41,Virupaksha Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.","Ancient active Shiva temple, central to this region.","It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, photography -- a well-loved spot in Hampi district.",Category: Temple,"Known for: Ancient active Shiva temple, central to Hampi","Popular activities: Pilgrimage, Architecture study, Photography"
42,Vitthala Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous for musical pillars and stone chariot.,"It's a well-known temple, popular for architecture appreciation.","Visitors flock here for architecture appreciation, history tour, photography -- a well-loved spot in Hampi district.",Category: Temple,Known for: Famous for musical pillars and stone chariot,"Popular activities: Architecture appreciation, History tour, Photography"
43,Stone Chariot,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Iconic stone structure at Vitthala Temple.,"It's a well-known temple, popular for photography.","Visitors flock here for photography, architecture study -- a well-loved spot in Hampi district.",Category: Temple,Known for: Iconic stone structure at Vitthala Temple,"Popular activities: Photography, Architecture study"
44,Lotus Mahal,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Indo-Islamic architecture for royal ladies.,"It's a well-known attraction, popular for photography.","Visitors flock here for photography, architecture appreciation -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Indo-Islamic architecture for royal ladies,"Popular activities: Photography, Architecture appreciation"
45,Elephant Stables,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Domed chambers for royal elephants.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, photography -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Domed chambers for royal elephants,"Popular activities: History tour, Photography"
46,Hemakuta Hill Temples,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Cluster of temples offering sunset views.,"It's a well-known temple, popular for sunset viewing.","Visitors flock here for sunset viewing, photography, temple visit -- a well-loved spot in Hampi district.",Category: Temple,Known for: Cluster of temples offering sunset views,"Popular activities: Sunset viewing, Photography, Temple visit"
47,Queen's Bath,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Royal bathing complex with Indo-Islamic design.,"It's a well-known attraction, popular for architecture appreciation.","Visitors flock here for architecture appreciation, history tour -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Royal bathing complex with Indo-Islamic design,"Popular activities: Architecture appreciation, History tour"
48,Hampi Bazaar,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient market street near Virupaksha Temple.,"It's a well-known temple, popular for shopping for souvenirs.","Visitors flock here for shopping for souvenirs, local food tasting, street photography -- a well-loved spot in Hampi district.",Category: Temple,Known for: Ancient market street near Virupaksha Temple,"Popular activities: Shopping for souvenirs, Local food tasting, Street photography"
49,Hazara Rama Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Private royal temple with intricate carvings.,"It's a well-known temple, popular for architecture study.","Visitors flock here for architecture study, mythology exploration -- a well-loved spot in Hampi district.",Category: Temple,Known for: Private royal temple with intricate carvings,"Popular activities: Architecture study, Mythology exploration"
50,Stepped Tank (Pushkarani),Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Sacred ceremonial tank.,"It's a well-known attraction, popular for photography.","Visitors flock here for photography, architecture appreciation -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Sacred ceremonial tank,"Popular activities: Photography, Architecture appreciation"
51,Monolithic Nandi,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Large Nandi statue near this region Bazaar.,"It's a well-known attraction, popular for photography.","Visitors flock here for photography, religious visit -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Large Nandi statue near Hampi Bazaar,"Popular activities: Photography, Religious visit"
52,King's Balance,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Ancient balance for royal donations.,"It's a well-known attraction, popular for history study.","Visitors flock here for history study, photography -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Ancient balance for royal donations,"Popular activities: History study, Photography"
53,Badavilinga Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Large monolithic Shiva lingam.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, photography -- a well-loved spot in Hampi district.",Category: Temple,Known for: Large monolithic Shiva lingam,"Popular activities: Pilgrimage, Photography"
54,Kadale Kalu Ganesha Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Huge Ganesha statue carved from a single boulder.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, photography -- a well-loved spot in Hampi district.",Category: Temple,Known for: Huge Ganesha statue carved from a single boulder,"Popular activities: Religious visit, Photography"
55,Sasivekalu Ganesha Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ganesha statue with a cobra canopy.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, photography -- a well-loved spot in Hampi district.",Category: Temple,Known for: Ganesha statue with a cobra canopy,"Popular activities: Religious visit, Photography"
56,Achyutaraya Temple,Hampi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Vivid ruins with a grand entrance.,"It's a well-known temple, popular for architecture study.","Visitors flock here for architecture study, trekking, photography -- a well-loved spot in Hampi district.",Category: Temple,Known for: Vivid ruins with a grand entrance,"Popular activities: Architecture study, Trekking, Photography"
57,Tungabhadra River,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Scenic river for coracle rides.,"It's a well-known attraction, popular for coracle ride.","Visitors flock here for coracle ride, photography, relaxation -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Scenic river for coracle rides,"Popular activities: Coracle ride, Photography, Relaxation"
58,Anjanadri Hill,Hampi,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.","Birthplace of Lord Hanuman, great sunset views.","It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, sunset viewing, religious visit -- a well-loved spot in Hampi district.",Category: Hill/Viewpoint,"Known for: Birthplace of Lord Hanuman, great sunset views","Popular activities: Trekking, Sunset viewing, Religious visit"
59,Matanga Hill,Hampi,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Highest point in this region for sunrise/sunset.,"It's a well-known hill/viewpoint, popular for sunrise/sunset viewing.","Visitors flock here for sunrise/sunset viewing, trekking, photography -- a well-loved spot in Hampi district.",Category: Hill/Viewpoint,Known for: Highest point in Hampi for sunrise/sunset,"Popular activities: Sunrise/sunset viewing, Trekking, Photography"
60,Coracle Ride,Hampi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Traditional boat ride on Tungabhadra River.,"It's a well-known attraction, popular for river exploration.","Visitors flock here for river exploration, photography, unique experience -- a well-loved spot in Hampi district.",Category: Attraction,Known for: Traditional boat ride on Tungabhadra River,"Popular activities: River exploration, Photography, Unique experience"
61,Abbey Falls,Coorg,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Scenic waterfall surrounded by coffee plantations.,"It's a well-known waterfall, popular for photography.","Visitors flock here for photography, nature walks, picnic -- a well-loved spot in Coorg district.",Category: Waterfall,Known for: Scenic waterfall surrounded by coffee plantations,"Popular activities: Photography, Nature walks, Picnic"
62,Talakaveri,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Source of River Kaveri.,"It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, scenic views, nature appreciation -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Source of River Kaveri,"Popular activities: Pilgrimage, Scenic views, Nature appreciation"
63,Raja's Seat,Coorg,"Somewhere in Karnataka, this garden holds a story worth uncovering.",Seasonal garden with panoramic views of valleys.,"It's a well-known garden, popular for sunset viewing.","Visitors flock here for sunset viewing, toy train ride, photography -- a well-loved spot in Coorg district.",Category: Garden,Known for: Seasonal garden with panoramic views of valleys,"Popular activities: Sunset viewing, Toy train ride, Photography"
64,Dubare Elephant Camp,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Elephant training camp on the banks of River Kaveri.,"It's a well-known attraction, popular for elephant bathing.","Visitors flock here for elephant bathing, elephant feeding, rafting -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Elephant training camp on the banks of River Kaveri,"Popular activities: Elephant bathing, Elephant feeding, Rafting"
65,Padi Igguthappa Templs,Coorg,"Somewhere in Karnataka, this temple holds a story worth uncovering.",more than 200 year old shrine(temple) in kakkabe.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, scenic views, nature appreciation -- a well-loved spot in Coorg district.",Category: Temple,Known for: more than 200 year old shrine(temple) in kakkabe,"Popular activities: Pilgrimage, Scenic views, Nature appreciation"
66,Nisargadhama,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Island with bamboo groves and a hanging bridge.,"It's a well-known attraction, popular for nature walks.","Visitors flock here for nature walks, boating, deer park visit -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Island with bamboo groves and a hanging bridge,"Popular activities: Nature walks, Boating, Deer park visit"
67,Bylakuppe Tibetan Settlement (Golden Temple),Coorg,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Largest Tibetan settlement in South India.,"It's a well-known temple, popular for spiritual visit.","Visitors flock here for spiritual visit, architecture appreciation, cultural immersion -- a well-loved spot in Coorg district.",Category: Temple,Known for: Largest Tibetan settlement in South India,"Popular activities: Spiritual visit, Architecture appreciation, Cultural immersion"
68,Bhagamandala,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Confluence of three rivers.,"It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, river bathing -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Confluence of three rivers,"Popular activities: Pilgrimage, River bathing"
69,Mandala Viewpoint,Coorg,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Hilltop offering panoramic views of valleys and hills.,"It's a well-known hill/viewpoint, popular for sunset viewing.","Visitors flock here for sunset viewing, photography, nature appreciation -- a well-loved spot in Coorg district.",Category: Hill/Viewpoint,Known for: Hilltop offering panoramic views of valleys and hills,"Popular activities: Sunset viewing, Photography, Nature appreciation"
70,Namdroling Monastery (Golden Temple),Coorg,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Tibetan Buddhist monastery with golden statues.,"It's a well-known temple, popular for spiritual visit.","Visitors flock here for spiritual visit, meditation, photography -- a well-loved spot in Coorg district.",Category: Temple,Known for: Tibetan Buddhist monastery with golden statues,"Popular activities: Spiritual visit, Meditation, Photography"
71,Tadiandamol Peak,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Highest peak in this region.,"It's a well-known attraction, popular for trekking.","Visitors flock here for trekking, camping, nature photography -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Highest peak in Coorg,"Popular activities: Trekking, Camping, Nature photography"
72,Iruppu Falls,Coorg,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Cascading waterfall with a Shiva temple nearby.,"It's a well-known temple, popular for photography.","Visitors flock here for photography, nature walks, religious visit -- a well-loved spot in Coorg district.",Category: Temple,Known for: Cascading waterfall with a Shiva temple nearby,"Popular activities: Photography, Nature walks, Religious visit"
73,Omkareshwara Temple,Coorg,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Unique temple with Islamic and Gothic architecture.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study -- a well-loved spot in Coorg district.",Category: Temple,Known for: Unique temple with Islamic and Gothic architecture,"Popular activities: Pilgrimage, Architecture study"
74,Coffee Plantations,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Vast estates growing coffee.,"It's a well-known attraction, popular for coffee tour.","Visitors flock here for coffee tour, photography, nature walks -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Vast estates growing coffee,"Popular activities: Coffee tour, Photography, Nature walks"
75,Honey Valley Estate,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Organic farm and nature retreat.,"It's a well-known attraction, popular for nature stay.","Visitors flock here for nature stay, honey tasting, trekking -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Organic farm and nature retreat,"Popular activities: Nature stay, Honey tasting, Trekking"
76,Mallalli Falls,Coorg,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Stunning multi-tiered waterfall in Pushpagiri Hills.,"It's a well-known waterfall, popular for trekking.","Visitors flock here for trekking, photography, nature appreciation -- a well-loved spot in Coorg district.",Category: Waterfall,Known for: Stunning multi-tiered waterfall in Pushpagiri Hills,"Popular activities: Trekking, Photography, Nature appreciation"
77,Chelavara Falls,Coorg,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Beautiful waterfall near Cheyyandane.,"It's a well-known waterfall, popular for photography.","Visitors flock here for photography, picnic, nature walks -- a well-loved spot in Coorg district.",Category: Waterfall,Known for: Beautiful waterfall near Cheyyandane,"Popular activities: Photography, Picnic, Nature walks"
78,Harangi Dam,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Reservoir built across the Harangi River.,"It's a well-known attraction, popular for picnic.","Visitors flock here for picnic, photography, boating (seasonal) -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Reservoir built across the Harangi River,"Popular activities: Picnic, Photography, Boating (seasonal)"
79,Brahmagiri Wildlife Sanctuary,Coorg,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Home to various wildlife and Iruppu Falls.,"It's a well-known waterfall, popular for trekking.","Visitors flock here for trekking, bird watching, wildlife spotting -- a well-loved spot in Coorg district.",Category: Waterfall,Known for: Home to various wildlife and Iruppu Falls,"Popular activities: Trekking, Bird watching, Wildlife spotting"
