id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3,difficulty,lat,lon,image_url
102,Bhoga Nandeeshwara Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",9th-century temple with intricate carvings.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, history tour, pilgrimage -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: 9th-century temple with intricate carvings,"Popular activities: Architecture photography, History tour, Pilgrimage",medium,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bhoga_Nandeeshwara_Temple_-_North_Side_View.jpg/500px-Bhoga_Nandeeshwara_Temple_-_North_Side_View.jpg
105,Yoga Nandeeshwara Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Temple located at the top of Nandi Hills.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, viewing the hill range -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Temple located at the top of Nandi Hills,"Popular activities: Pilgrimage, Architecture study, Viewing the hill range",medium,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/SreeYoganandeeswaraSwamyTemple.JPG/500px-SreeYoganandeeswaraSwamyTemple.JPG
108,Kaveripura (Sir M.V. Museum),Chikkaballapur,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Museum dedicated to India's greatest engineer.,"It's a well-known museum, popular for exploring artifacts.","Visitors flock here for exploring artifacts, history study, photography -- a well-loved spot in Chikkaballapur district.",Category: Museum,Known for: Museum dedicated to India's greatest engineer,"Popular activities: Exploring artifacts, History study, Photography",medium,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Kaveripura%20%28Sir%20M.V.%20Museum%29
111,Kailasagiri,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hillock with cave temples and panoramic views.,"It's a well-known temple, popular for trekking.","Visitors flock here for trekking, cave exploration, photography -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Hillock with cave temples and panoramic views,"Popular activities: Trekking, Cave exploration, Photography",medium,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Chinthamani_Taluk_COVID_Map.pdf/page1-500px-Chinthamani_Taluk_COVID_Map.pdf.jpg
114,Gummanayaka Kote,Chikkaballapur,"Somewhere in Karnataka, this fort holds a story worth uncovering.",14th-century hill fort ruins.,"It's a well-known fort, popular for adventure trekking.","Visitors flock here for adventure trekking, history exploration, photography -- a well-loved spot in Chikkaballapur district.",Category: Fort,Known for: 14th-century hill fort ruins,"Popular activities: Adventure trekking, History exploration, Photography",medium,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Gummanayaka%20Kote
117,Jaramadagu Falls,Chikkaballapur,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Hidden multi-step waterfall in the forest.,"It's a well-known waterfall, popular for forest trekking.","Visitors flock here for forest trekking, photography, nature walks -- a well-loved spot in Chikkaballapur district.",Category: Waterfall,Known for: Hidden multi-step waterfall in the forest,"Popular activities: Forest trekking, Photography, Nature walks",medium,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Jaramadagu%20Falls
120,Sathi Falls,Chikkaballapur,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Seasonal waterfall ideal for a quick getaway.,"It's a well-known waterfall, popular for nature photography.","Visitors flock here for nature photography, picnic, short trekking -- a well-loved spot in Chikkaballapur district.",Category: Waterfall,Known for: Seasonal waterfall ideal for a quick getaway,"Popular activities: Nature photography, Picnic, Short trekking",medium,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/A_scenery_from_bababudan_hill.jpg/500px-A_scenery_from_bababudan_hill.jpg
123,Bagepalli (Silk Hub),Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Center for sericulture and silk production.,"It's a well-known attraction, popular for watching silk weaving.","Visitors flock here for watching silk weaving, factory visit, shopping -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Center for sericulture and silk production,"Popular activities: Watching silk weaving, Factory visit, Shopping",medium,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Bagepalli%20%28Silk%20Hub%29
126,Grover Zampa Vineyards,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",One of India's oldest winery estates.,"It's a well-known attraction, popular for wine tasting tours.","Visitors flock here for wine tasting tours, learning about viticulture, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: One of India's oldest winery estates,"Popular activities: Wine tasting tours, Learning about viticulture, Photography",medium,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Grover%20Zampa%20Vineyards
129,Rangadhama Hill,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hilltop temple with a challenging climb.,"It's a well-known temple, popular for steep trekking.","Visitors flock here for steep trekking, religious visit, viewpoint viewing -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Hilltop temple with a challenging climb,"Popular activities: Steep trekking, Religious visit, Viewpoint viewing",medium,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/What_is_Shipyard.jpg/500px-What_is_Shipyard.jpg
103,Skandagiri (Kalavara Durga),Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Famous night trekking destination with mountain views.,"It's a well-known attraction, popular for night trekking.","Visitors flock here for night trekking, camping, sunrise viewing -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Famous night trekking destination with mountain views,"Popular activities: Night trekking, Camping, Sunrise viewing",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Skandagiri.jpg/500px-Skandagiri.jpg
104,Skandagiri Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple at the base of the hill.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, architecture study -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Ancient temple at the base of the hill,"Popular activities: Religious visit, Architecture study",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Sunrise_at_Nandi_Hills.jpg/500px-Sunrise_at_Nandi_Hills.jpg
106,Vivekananda Falls,Chikkaballapur,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Seasonal waterfall located near the hills.,"It's a well-known waterfall, popular for nature trekking.","Visitors flock here for nature trekking, photography, relaxation -- a well-loved spot in Chikkaballapur district.",Category: Waterfall,Known for: Seasonal waterfall located near the hills,"Popular activities: Nature trekking, Photography, Relaxation",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Hampi_virupaksha_temple.jpg/500px-Hampi_virupaksha_temple.jpg
107,Muddenahalli,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Birthplace of Sir M. Visvesvaraya.,"It's a well-known attraction, popular for visiting the museum.","Visitors flock here for visiting the museum, history tour, educational visit -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Birthplace of Sir M. Visvesvaraya,"Popular activities: Visiting the museum, History tour, Educational visit",hard,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Muddenahalli
109,Ranganatha Swamy Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple dedicated to Lord Ranganatha.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, watching traditional rituals -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Ancient temple dedicated to Lord Ranganatha,"Popular activities: Pilgrimage, Watching traditional rituals",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Hampi_virupaksha_temple.jpg/500px-Hampi_virupaksha_temple.jpg
110,Kaiwara,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Historic town associated with the poet Kaiwara Tatayya.,"It's a well-known attraction, popular for religious visit.","Visitors flock here for religious visit, visiting the ashram, cave exploration -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Historic town associated with the poet Kaiwara Tatayya,"Popular activities: Religious visit, Visiting the ashram, Cave exploration",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Chinthamani_Taluk_COVID_Map.pdf/page1-500px-Chinthamani_Taluk_COVID_Map.pdf.jpg
112,Chintamani,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Major trade center known for silk and incense.,"It's a well-known attraction, popular for local shopping.","Visitors flock here for local shopping, market exploration, food tasting -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Major trade center known for silk and incense,"Popular activities: Local shopping, Market exploration, Food tasting",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Chinthamani_Taluk_COVID_Map.pdf/page1-500px-Chinthamani_Taluk_COVID_Map.pdf.jpg
113,Srinivasa Sagara,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Scenic reservoir and dam site.,"It's a well-known attraction, popular for picnic.","Visitors flock here for picnic, bird watching, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Scenic reservoir and dam site,"Popular activities: Picnic, Bird watching, Photography",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Singeetam_srinivasa_rao.jpg/500px-Singeetam_srinivasa_rao.jpg
115,Avalabetta,Chikkaballapur,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Quiet hill station known as the 'Nandi Hills without the crowd'.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, landscape photography, cliff viewing -- a well-loved spot in Chikkaballapur district.",Category: Hill/Viewpoint,Known for: Quiet hill station known as the 'Nandi Hills without the crowd',"Popular activities: Trekking, Landscape photography, Cliff viewing",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Vidhana_Soudha_sunset.jpg/500px-Vidhana_Soudha_sunset.jpg
116,Vidurashwatha,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Known as the 'Jallianwala Bagh of the South'.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, visiting the martyr's memorial, pilgrimage -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Known as the 'Jallianwala Bagh of the South',"Popular activities: History tour, Visiting the martyr's memorial, Pilgrimage",hard,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Vidurashwatha
118,Ghatikallu,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Massive rock formation and trekking spot.,"It's a well-known attraction, popular for rock climbing.","Visitors flock here for rock climbing, trekking, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Massive rock formation and trekking spot,"Popular activities: Rock climbing, Trekking, Photography",hard,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Ghatikallu
119,Minakanagurki,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Center for rural empowerment and education.,"It's a well-known attraction, popular for social study.","Visitors flock here for social study, educational tour, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Center for rural empowerment and education,"Popular activities: Social study, Educational tour, Photography",hard,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Minakanagurki
121,Venkataramana Swamy Temple (Alamgiri),Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Historic temple with Hoysala influence.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, pilgrimage, history tour -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Historic temple with Hoysala influence,"Popular activities: Architecture photography, Pilgrimage, History tour",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Chinthamani_Taluk_COVID_Map.pdf/page1-500px-Chinthamani_Taluk_COVID_Map.pdf.jpg
122,Bhimeshwara Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Cave temple dedicated to Lord Shiva.,"It's a well-known temple, popular for spiritual retreat.","Visitors flock here for spiritual retreat, cave exploration, photography -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Cave temple dedicated to Lord Shiva,"Popular activities: Spiritual retreat, Cave exploration, Photography",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Someshwara1.jpg/500px-Someshwara1.jpg
124,Gudibande Fort,Chikkaballapur,"Somewhere in Karnataka, this fort holds a story worth uncovering.",7-layered fort modeled after the Madhugiri Fort.,"It's a well-known fort, popular for fort trekking.","Visitors flock here for fort trekking, history study, viewing the surrounding lakes -- a well-loved spot in Chikkaballapur district.",Category: Fort,Known for: 7-layered fort modeled after the Madhugiri Fort,"Popular activities: Fort trekking, History study, Viewing the surrounding lakes",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gudibande_-_Loaps.jpg/500px-Gudibande_-_Loaps.jpg
125,Amani Byrasagara Lake,Chikkaballapur,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Large lake near Gudibande town.,"It's a well-known lake, popular for bird watching.","Visitors flock here for bird watching, evening walks, photography -- a well-loved spot in Chikkaballapur district.",Category: Lake,Known for: Large lake near Gudibande town,"Popular activities: Bird watching, Evening walks, Photography",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gudibande_-_Loaps.jpg/500px-Gudibande_-_Loaps.jpg
127,Mandikal Hills,Chikkaballapur,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Trekking spot with lush greenery after rain.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, nature walks, photography -- a well-loved spot in Chikkaballapur district.",Category: Hill/Viewpoint,Known for: Trekking spot with lush greenery after rain,"Popular activities: Trekking, Nature walks, Photography",hard,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Mandikal%20Hills
128,Kandavara Lake,Chikkaballapur,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Serene lake popular for morning walks.,"It's a well-known lake, popular for jogging.","Visitors flock here for jogging, bird watching, photography -- a well-loved spot in Chikkaballapur district.",Category: Lake,Known for: Serene lake popular for morning walks,"Popular activities: Jogging, Bird watching, Photography",hard,13.4355,77.7315,https://placehold.co/500x350/1c433c/8fe0a8?font=roboto&text=Kandavara%20Lake
130,Ghati Subramanya Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous temple where the deity is self-manifested.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, watching snake worship rituals, architecture study -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Famous temple where the deity is self-manifested,"Popular activities: Pilgrimage, Watching snake worship rituals, Architecture study",hard,13.4355,77.7315,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ghati_Subramanya_Temple.JPG/500px-Ghati_Subramanya_Temple.JPG
61,Abbey Falls,Coorg,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Scenic waterfall surrounded by coffee plantations.,"It's a well-known waterfall, popular for photography.","Visitors flock here for photography, nature walks, picnic -- a well-loved spot in Coorg district.",Category: Waterfall,Known for: Scenic waterfall surrounded by coffee plantations,"Popular activities: Photography, Nature walks, Picnic",easy,12.3375,75.8069,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Tadiandamol_Valley%2C_Western_Ghats.jpg/500px-Tadiandamol_Valley%2C_Western_Ghats.jpg
64,Dubare Elephant Camp,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Elephant training camp on the banks of River Kaveri.,"It's a well-known attraction, popular for elephant bathing.","Visitors flock here for elephant bathing, elephant feeding, rafting -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Elephant training camp on the banks of River Kaveri,"Popular activities: Elephant bathing, Elephant feeding, Rafting",easy,12.3375,75.8069,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Tadiandamol_Valley%2C_Western_Ghats.jpg/500px-Tadiandamol_Valley%2C_Western_Ghats.jpg
67,Bylakuppe Tibetan Settlement (Golden Temple),Coorg,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Largest Tibetan settlement in South India.,"It's a well-known temple, popular for spiritual visit.","Visitors flock here for spiritual visit, architecture appreciation, cultural immersion -- a well-loved spot in Coorg district.",Category: Temple,Known for: Largest Tibetan settlement in South India,"Popular activities: Spiritual visit, Architecture appreciation, Cultural immersion",easy,12.3375,75.8069,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Tadiandamol_Valley%2C_Western_Ghats.jpg/500px-Tadiandamol_Valley%2C_Western_Ghats.jpg
